id,acorn,acorn-grouped,aff
4694,ACORN-E,Affluent,1
4696,ACORN-K,Adversity,0
4705,ACORN-E,Affluent,1
4706,ACORN-E,Affluent,1
4708,ACORN-F,Comfortable,0
4718,ACORN-D,Affluent,1
4721,ACORN-L,Adversity,0
4724,ACORN-K,Adversity,0
4730,ACORN-E,Affluent,1
4738,ACORN-E,Affluent,1
4740,ACORN-D,Affluent,1
4745,ACORN-Q,Adversity,0
4748,ACORN-H,Comfortable,0
4749,ACORN-H,Comfortable,0
4760,ACORN-D,Affluent,1
4776,ACORN-M,Adversity,0
4782,ACORN-H,Comfortable,0
4786,ACORN-F,Comfortable,0
4788,ACORN-U,ACORN-U,0
4807,ACORN-H,Comfortable,0
4809,ACORN-Q,Adversity,0
4815,ACORN-E,Affluent,1
4817,ACORN-F,Comfortable,0
4823,ACORN-H,Comfortable,0
4831,ACORN-K,Adversity,0
4833,ACORN-E,Affluent,1
4840,ACORN-F,Comfortable,0
4844,ACORN-F,Comfortable,0
4850,ACORN-G,Comfortable,0
4862,ACORN-F,Comfortable,0
4875,ACORN-Q,Adversity,0
4879,ACORN-E,Affluent,1
4884,ACORN-E,Affluent,1
4887,ACORN-D,Affluent,1
4897,ACORN-J,Comfortable,0
4901,ACORN-J,Comfortable,0
4902,ACORN-J,Comfortable,0
4903,ACORN-J,Comfortable,0
4904,ACORN-E,Affluent,1
4908,ACORN-E,Affluent,1
4914,ACORN-E,Affluent,1
4915,ACORN-D,Affluent,1
4916,ACORN-D,Affluent,1
4922,ACORN-H,Comfortable,0
4927,ACORN-D,Affluent,1
4928,ACORN-D,Affluent,1
4929,ACORN-H,Comfortable,0
4930,ACORN-E,Affluent,1
4933,ACORN-E,Affluent,1
4934,ACORN-Q,Adversity,0
4951,ACORN-P,Adversity,0
4953,ACORN-D,Affluent,1
4954,ACORN-E,Affluent,1
4957,ACORN-B,Affluent,1
4963,ACORN-E,Affluent,1
4973,ACORN-E,Affluent,1
4974,ACORN-E,Affluent,1
4975,ACORN-F,Comfortable,0
4980,ACORN-J,Comfortable,0
4981,ACORN-E,Affluent,1
4983,ACORN-J,Comfortable,0
4984,ACORN-E,Affluent,1
4992,ACORN-E,Affluent,1
5000,ACORN-Q,Adversity,0
5002,ACORN-F,Comfortable,0
5003,ACORN-D,Affluent,1
5004,ACORN-Q,Adversity,0
5007,ACORN-E,Affluent,1
5009,ACORN-E,Affluent,1
5018,ACORN-E,Affluent,1
5036,ACORN-U,ACORN-U,0
5041,ACORN-E,Affluent,1
5042,ACORN-A,Affluent,1
5050,ACORN-F,Comfortable,0
5055,ACORN-E,Affluent,1
5072,ACORN-H,Comfortable,0
5073,ACORN-F,Comfortable,0
5074,ACORN-H,Comfortable,0
5078,ACORN-F,Comfortable,0
5088,ACORN-E,Affluent,1
5096,ACORN-N,Adversity,0
5101,ACORN-L,Adversity,0
5114,ACORN-F,Comfortable,0
5119,ACORN-K,Adversity,0
5137,ACORN-E,Affluent,1
5143,ACORN-H,Comfortable,0
5151,ACORN-H,Comfortable,0
5153,ACORN-O,Adversity,0
5165,ACORN-E,Affluent,1
5166,ACORN-N,Adversity,0
5170,ACORN-F,Comfortable,0
5174,ACORN-F,Comfortable,0
5183,ACORN-E,Affluent,1
5187,ACORN-E,Affluent,1
5191,ACORN-F,Comfortable,0
5195,ACORN-D,Affluent,1
5214,ACORN-E,Affluent,1
5216,ACORN-J,Comfortable,0
5219,ACORN-D,Affluent,1
5220,ACORN-E,Affluent,1
5226,ACORN-E,Affluent,1
5236,ACORN-Q,Adversity,0
5239,ACORN-G,Comfortable,0
5244,ACORN-D,Affluent,1
5254,ACORN-D,Affluent,1
5261,ACORN-D,Affluent,1
5263,ACORN-E,Affluent,1
5267,ACORN-E,Affluent,1
5268,ACORN-E,Affluent,1
5270,ACORN-E,Affluent,1
5273,ACORN-D,Affluent,1
5275,ACORN-D,Affluent,1
5276,ACORN-E,Affluent,1
5277,ACORN-E,Affluent,1
5280,ACORN-D,Affluent,1
5282,ACORN-E,Affluent,1
5288,ACORN-Q,Adversity,0
5293,ACORN-E,Affluent,1
5294,ACORN-E,Affluent,1
5297,ACORN-E,Affluent,1
5300,ACORN-E,Affluent,1
5309,ACORN-E,Affluent,1
5311,ACORN-E,Affluent,1
5315,ACORN-E,Affluent,1
5317,ACORN-E,Affluent,1
5320,ACORN-C,Affluent,1
5323,ACORN-E,Affluent,1
5328,ACORN-Q,Adversity,0
5343,ACORN-E,Affluent,1
5345,ACORN-P,Adversity,0
5356,ACORN-E,Affluent,1
5371,ACORN-L,Adversity,0
5380,ACORN-D,Affluent,1
5382,ACORN-E,Affluent,1
5385,ACORN-P,Adversity,0
5386,ACORN-P,Adversity,0
5389,ACORN-Q,Adversity,0
5397,ACORN-P,Adversity,0
5398,ACORN-P,Adversity,0
5402,ACORN-P,Adversity,0
5405,ACORN-E,Affluent,1
5406,ACORN-A,Affluent,1
5408,ACORN-E,Affluent,1
5409,ACORN-N,Adversity,0
5412,ACORN-E,Affluent,1
5418,ACORN-E,Affluent,1
5433,ACORN-E,Affluent,1
5439,ACORN-L,Adversity,0
5450,ACORN-I,Comfortable,0
5451,ACORN-F,Comfortable,0
5455,ACORN-E,Affluent,1
5457,ACORN-E,Affluent,1
5458,ACORN-Q,Adversity,0
5461,ACORN-N,Adversity,0
5463,ACORN-Q,Adversity,0
5475,ACORN-M,Adversity,0
5480,ACORN-Q,Adversity,0
5497,ACORN-E,Affluent,1
5500,ACORN-Q,Adversity,0
5512,ACORN-K,Adversity,0
5518,ACORN-K,Adversity,0
5525,ACORN-P,Adversity,0
5526,ACORN-E,Affluent,1
5527,ACORN-Q,Adversity,0
5530,ACORN-K,Adversity,0
5539,ACORN-E,Affluent,1
5540,ACORN-N,Adversity,0
5552,ACORN-E,Affluent,1
